Reference,Year,Technology Node,Circuit/Code,Logic Style,VDD,Simulation Tool,Reported Performance,Transistor Count,PVT Analysis,Main Contribution,Limitation,Relevance,DOI/URL
Hamming,1950,Not applicable,Error-correcting codes,Coding theory,Not applicable,Analytical,Introduced systematic error detection and correction,Not applicable,No,Foundational Hamming-code theory,No circuit implementation,Mathematical foundation,https://doi.org/10.1002/j.1538-7305.1950.tb00463.x
Morgenshtein Fish Wagner,2002,Reported examples across CMOS nodes,Combinational gates,GDI,Varied,SPICE/layout evaluation,Reduced device count and power in example circuits,Function dependent,Limited,Introduced GDI methodology,Reduced swing and nonstandard body/source concerns motivate restoration,Foundational GDI reference,https://doi.org/10.1109/TVLSI.2002.801578
Morgenshtein Yuzhaninov Kovshilovsky Fish,2014,40 nm,16-bit CLA,FS-GDI,0.1-1.1 V,Virtuoso/SPICE,2x area reduction; 5x dynamic-energy improvement; 4x leakage reduction; 24% performance penalty versus CMOS,Not fully listed in abstract,Monte Carlo,Full-swing GDI and robustness methodology,CLA rather than ECC encoder,Foundation for restored GDI and PVT testing,https://doi.org/10.1016/j.vlsi.2013.04.002
Radhakrishnan Nirmalraj Karn,2019,180 nm,Logic gates and full adder,Enhanced GDI,1.8 V,LTspice XVII,Addresses swing degradation and glitches; reported power comparisons across frequency,Varied,Frequency study,Enhanced-GDI restoration evaluated in LTspice,Different node and very different loads/frequencies,Supports swing-restoration motivation,https://doi.org/10.1016/j.mejo.2019.104621
Hasan Zaman Hossain et al.,2020,Metadata verification required,Scalable 1-bit full adder,Hybrid full-swing GDI,Metadata verification required,SPICE reported by publisher record,Full-swing scalable hybrid full-adder comparison,Metadata verification required,Not confirmed from accessible abstract,Hybrid GDI full-adder implementation,Arithmetic cell rather than Hamming encoder,Supports hybrid-cell survey,https://doi.org/10.1016/j.jestch.2020.05.008
Publisher record: GDI synthesis study,2021,ASIC-oriented,Combinational synthesis,GDI with MUX/BDD decomposition,Not reported in accessible abstract,Publisher-reported simulation,Introduces systematic GDI synthesis and discusses buffer insertion,Not reported,Discusses PVT motivation,Systematic mapping of Boolean networks,Not specific to ECC and full metadata needs subscription verification,Shows need for reproducible mapping rules,https://doi.org/10.1016/j.mejo.2020.104963
Ghorbani Dolatshahi Zanjani Barekatain,2022,CNFET model,Full adder and XOR,Dynamic-GDI,Model dependent,HSPICE,Reported improvements in power delay and PDP with full swing,See article,Not central,Combines dynamic logic and GDI,Non-CMOS CNFET results are not directly comparable,Recent XOR/GDI design direction,https://doi.org/10.1016/j.vlsi.2021.12.001
Tripathi Jana Bhaumik,2023,FPGA and ASIC targets,SEC-DAEC and SEC-DAEC-TAEC codecs,HDL/synthesized architectures,Platform dependent,FPGA and ASIC toolchains,Reports area power and delay improvements for 16 32 and 64-bit codes,Matrix dependent,Not transistor-level PVT,Stronger adjacent-error correction codes,More complex codes and incompatible methodology,Places SEC-DED in modern ECC context,https://doi.org/10.1016/j.vlsi.2022.11.003
Bahrami Shiri Pesaran,2023,CNTFET,Approximate subtractors,GDI with dynamic threshold,Model dependent,SPICE,6-10 transistor approximate subtractors and reported error metrics,6-10,Not central,Explores compact GDI structures,Approximate logic is unsuitable for exact ECC parity,Shows recent GDI emphasis but not directly reusable,https://doi.org/10.1016/j.mejo.2023.105757
Shiri et al.,2023,CNTFET,Approximate full adders,GDI/dynamic threshold,Model dependent,SPICE,Reported PDAP improvements in approximate arithmetic,Varied,Not central,Energy-efficient GDI approximate adders,Approximation violates exact encoder requirements,Relevant caution against importing approximate cells,https://doi.org/10.1016/j.compeleceng.2023.108776
El-Bendary El-Badry,2024,65 nm,Hamming (7,4) and (11,7),CMOS GDI FS-GDI,1.2 V nominal,Cadence Virtuoso,Reported lower power delay PDP and 50% transistor-count reduction for FS-GDI,72 for FS-GDI Hamming (11,7),No encoder PVT table,Direct baseline paper,Missing netlists/load/activity and inconsistent delay percentages,Primary reproduction target,https://doi.org/10.1080/00207217.2023.2192966
Albert Thiagarajan Sinthia Christopher Suganthi Arunkumar,2024,Metadata varies by example,Boolean functions and full adder,Optimized FS-GDI,Metadata verification required,Publisher-reported simulation,Reports dependence of FS-GDI benefit on literal structure and 86% PDP reduction for modified full adder,Varied,Not confirmed,Warns that direct FS-GDI mapping is function dependent,Journal indexing/metadata quality should be checked before final submission,Supports testing rather than assuming FS-GDI superiority,https://www.ijisae.org/index.php/IJISAE/article/view/6562
IEEE ESCI conference paper,2024,Metadata verification required,Hamming encoder and decoder,GDI versus CMOS,Metadata verification required,SPICE/EDA metadata verification required,Abstract reports approximately 50% lower power for GDI,Metadata verification required,Not confirmed,Recent GDI Hamming codec application,Insufficient accessible setup for direct quantitative comparison,Confirms related work exists and narrows novelty,https://doi.org/10.1109/ESCI59607.2024.10497302
Kim et al.,2026,Digital architecture dependent,Long Hamming encoders/decoders,Word-serial architecture,Platform dependent,Synthesis/evaluation,Up to 22% area-time improvement for (4110 4096) in the reported study,Architecture dependent,Not transistor-level PVT,Word-serial trade-off for long codes,Targets long codewords rather than transistor-level short encoders,Modern Hamming hardware context,https://www.sciencedirect.com/science/article/pii/S0141933126000311
